#Datasets	MeganServer::ERR1883438_S0_L001_R1_000.fastq.merged.prefixed.hg19unmapped	MeganServer::SRR1930145_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped	MeganServer::SRR1930121_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped	MeganServer::SRR062298_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped	MeganServer::ARS001.A0101.SG1.2_S0_L003_R1_001.fastq.combined.fq.prefixed.extractunmapped.bam	MeganServer::SRR1761705_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped	MeganServer::ARS011.A0101.SG1.2_S0_L003_R1_001.fastq.combined.fq.prefixed.extractunmapped.bam	MeganServer::ERR1883424_S0_L001_R1_000.fastq.merged.prefixed.hg19unmapped	MeganServer::SRR061320_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped	MeganServer::SRR061365_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped	MeganServer::SRR513165_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped	MeganServer::ERR1883421_S0_L001_R1_000.fastq.merged.prefixed.hg19unmapped	MeganServer::SRR1633008_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped	MeganServer::SRR1761698_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped	MeganServer::SRR3189416_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped	MeganServer::SRR1631064_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped	MeganServer::SRR1631061_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped	MeganServer::SRR1929408_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped	MeganServer::ARS012.A0101.SG1.2_S0_L003_R1_001.fastq.combined.fq.prefixed.extractunmapped.bam	MeganServer::SRR1761677_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped	MeganServer::SRR512767_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped	MeganServer::SRR060358_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped	MeganServer::ERR1883418_S0_L001_R1_000.fastq.merged.prefixed.hg19unmapped	MeganServer::SRR1761710_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped	MeganServer::SRR063517_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped	MeganServer::SRR061192_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped	MeganServer::SRR3189418_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped	MeganServer::SRR514306_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped	MeganServer::SRR1930123_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped	MeganServer::SRR1930141_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped	MeganServer::SRR059455_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped	MeganServer::SRR514329_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped	MeganServer::ARS017.A0101.SG1.2_S0_L003_R1_001.fastq.combined.fq.prefixed.extractunmapped.bam	MeganServer::SRR059389_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped	MeganServer::SRR514239_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped	MeganServer::SRR061562_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped	MeganServer::SRR062083_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped	MeganServer::ERR1883419_S0_L001_R1_000.fastq.merged.prefixed.hg19unmapped	MeganServer::ERR1883422_S0_L001_R1_000.fastq.merged.prefixed.hg19unmapped	MeganServer::SRR1804823_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped	MeganServer::ARS004.A0101.SG1.2_S0_L003_R1_001.fastq.combined.fq.prefixed.extractunmapped.bam	MeganServer::SRR1631063_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped	MeganServer::SRR514202_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped	MeganServer::SRR3189411_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped	MeganServer::SRR059917_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped	MeganServer::ERR1883430_S0_L001_R1_000.fastq.merged.prefixed.hg19unmapped	MeganServer::SRR1761682_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped	MeganServer::ERR1883423_S0_L001_R1_000.fastq.merged.prefixed.hg19unmapped	MeganServer::SRR513768_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped	MeganServer::SRR1804664_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped	MeganServer::SRR1631060_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped	MeganServer::SRR062299_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped	MeganServer::ERR1883420_S0_L001_R1_000.fastq.merged.prefixed.hg19unmapped	MeganServer::SRR513828_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped	MeganServer::ERR1883436_S0_L001_R1_000.fastq.merged.prefixed.hg19unmapped	MeganServer::ARS015.A0101.SG1.2_S0_L003_R1_001.fastq.combined.fq.prefixed.extractunmapped.bam	MeganServer::ARS005.A0101.SG1.2_S0_L003_R1_001.fastq.combined.fq.prefixed.extractunmapped.bam	MeganServer::SRR1761692_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped	MeganServer::ARS020.A0101.SG1.2_S0_L003_R1_001.fastq.combined.fq.prefixed.extractunmapped.bam	MeganServer::SRR3184100_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped	MeganServer::SRR061294_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped	MeganServer::ARS013.A0101.SG1.2_S0_L003_R1_001.fastq.combined.fq.prefixed.extractunmapped.bam	MeganServer::SRR1761697_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped	MeganServer::SRR1761688_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped	MeganServer::SRR059425_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped	MeganServer::SRR513775_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped	MeganServer::ARS010.A0101.SG1.2_S0_L003_R1_001.fastq.combined.fq.prefixed.extractunmapped.bam	MeganServer::SRR1761718_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped	MeganServer::SRR1761721_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped	MeganServer::SRR3184876_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped
"Acidobacterium capsulatum"	164.0	0.0	0.0	0.0	439.0	0.0	0.0	283.0	0.0	0.0	0.0	121.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	602.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	257.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	494.0	257.0	0.0	316.0	0.0	0.0	350.0	0.0	0.0	0.0	0.0	468.0	0.0	0.0	0.0
"Candidatus Koribacter versatilis"	195.0	0.0	0.0	0.0	602.0	0.0	329.0	258.0	0.0	0.0	0.0	144.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	960.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	387.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	934.0	492.0	0.0	573.0	0.0	0.0	647.0	0.0	0.0	0.0	0.0	822.0	0.0	0.0	0.0
"Edaphobacter aggregans"	243.0	0.0	0.0	0.0	977.0	0.0	511.0	374.0	0.0	0.0	0.0	185.0	0.0	0.0	0.0	0.0	0.0	0.0	518.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1960.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	714.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1511.0	786.0	0.0	783.0	0.0	0.0	1000.0	0.0	0.0	0.0	0.0	1037.0	0.0	0.0	0.0
"Granulicella mallensis"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	204.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	632.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	224.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	486.0	0.0	0.0	369.0	0.0	0.0	363.0	0.0	0.0	0.0	0.0	467.0	0.0	0.0	0.0
"Granulicella tundricola"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	137.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	272.0	0.0	0.0	0.0
"Silvibacterium bohemicum"	165.0	0.0	0.0	0.0	555.0	0.0	250.0	337.0	0.0	0.0	0.0	118.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	865.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	313.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	636.0	338.0	0.0	392.0	0.0	0.0	437.0	0.0	0.0	0.0	0.0	668.0	0.0	0.0	0.0
"Terracidiphilus gabretensis"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	140.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	296.0	0.0	0.0	0.0
"Terriglobus roseus"	148.0	0.0	0.0	0.0	425.0	0.0	0.0	222.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	646.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	239.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	480.0	263.0	0.0	385.0	0.0	0.0	405.0	0.0	0.0	0.0	0.0	577.0	0.0	0.0	0.0
"Terriglobus saanensis"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	232.0	0.0	0.0	0.0
"Acidobacteriaceae bacterium KBS 83"	211.0	0.0	0.0	0.0	593.0	0.0	324.0	335.0	0.0	0.0	0.0	115.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1151.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	474.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	819.0	417.0	0.0	634.0	0.0	0.0	573.0	0.0	0.0	0.0	0.0	716.0	0.0	0.0	0.0
