#Datasets	ABM006.A0101.unmapped	ABM007.A0101.unmapped	ABM008.A0101.unmapped	BAN001.A0101.unmapped	BIT001.A0101.unmapped	BSQ001.A0101.unmapped	CDC005.A0101.unmapped	CDC006.A0101.unmapped	CDC007.A0101.unmapped	CDC008.A0101.unmapped	CDC009.A0101.unmapped	CDC010.A0101.unmapped	DJA002.A0101.unmapped	DJA006.A0101.unmapped	DJA007.A0101.unmapped	DLV001.A0101.unmapped	DLV002.A0101.unmapped	EBO001.A0101.unmapped	EBO003.A0101.unmapped	EBO008.A0101.unmapped	EBO009.A0101.unmapped	ECO002.B0101.unmapped	ECO002.C0101.unmapped	ECO004.B0101.unmapped	ECO004.C0101.unmapped	ECO006.B0101.unmapped	ECO010.B0101.unmapped	EMN001.A0101.unmapped	ESA003.A0101.unmapped	ESA004.A0101.unmapped	ESA006.A0101.unmapped	ESA007.A0101.unmapped	ESA008.A0101.unmapped	FDM001.A0101.unmapped	FUM001.A0101.unmapped	FUM002.A0101.unmapped	FUM003.A0101.unmapped	GDC002.A0101.unmapped	GDC004.A0101.unmapped	GDC005.A0101.unmapped	GDN001.A0101.unmapped	GDN001.B0101.unmapped	GUE001.A0101.unmapped	IBA001.A0101.unmapped	IBA002.A0101.unmapped	JAE006.A0101.unmapped	JAE007.A0101.unmapped	JAE008.A0101.unmapped	JAE009.A0101.unmapped	JAE010.A0101.unmapped	JAE012.A0101.unmapped	JAE013.A0101.unmapped	JAE014.A0101.unmapped	JAE015.A0101.unmapped	JAE016.A0101.unmapped	KNP001.A0102.unmapped	KNP003.A0102.unmapped	KNP004.A0102.unmapped	KNP005.A0102.unmapped	KNP006.A0102.unmapped	KNP007.A0102.unmapped	KNP009.A0102.unmapped	LIS001.A0101.unmapped	LIS003.A0101.unmapped	LOB001.A0101.unmapped	MOA001.A0101.unmapped	MOA001.A0102.unmapped	MTK001.A0101.unmapped	MTM003.A0101.unmapped	MTM010.A0101.unmapped	MTM011.A0101.unmapped	MTM012.A0101.unmapped	MTM013.A0101.unmapped	MTS001.A0101.unmapped	MTS002.A0101.unmapped	MTS003.A0101.unmapped	OAK001.A0101.unmapped	OAK002.A0101.unmapped	OAK003.A0101.unmapped	OAK004.A0101.unmapped	OAK005.A0101.unmapped	OFN001.A0101.unmapped	OME002.A0101.unmapped	OME003.A0101.unmapped	OME005.A0101.unmapped	OME007.A0101.unmapped	OME009.A0101.unmapped	PES001.B0101.unmapped	PLV001.A0101.unmapped	PYK001.A0101.unmapped	PYK002.A0101.unmapped	PYK003.A0101.unmapped	PYK004.A0101.unmapped	PYK005.A0101.unmapped	RIG001.A0101.unmapped	SPM001.A0101.unmapped	SPM002.A0101.unmapped	TAF008.B0101.unmapped	TAF016.B0101.unmapped	TAF017.A0101.unmapped	TAF017.C0101.unmapped	TAF017.E0101.unmapped	TAF018.A0101.unmapped	TAF018.B0101.unmapped	VLC001.A0101.unmapped	VLC002.A0101.unmapped	VLC003.A0101.unmapped	VLC004.A0101.unmapped	VLC005.A0101.unmapped	VLC008.A0101.unmapped	VLC009.A0101.unmapped	VLC010.A0101.unmapped	VLD001.A0101.unmapped	WAL001.A0101.unmapped	ZAF001.A0101.unmapped
"Acidipila"	0.0	0.0	0.0	0.0	1449.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	157.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	202.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	101.0	83.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Acidobacterium"	0.0	0.0	0.0	0.0	1226.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	120.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	182.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	86.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Candidatus Koribacter"	0.0	0.0	0.0	0.0	632.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	146.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	136.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	57.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Edaphobacter"	0.0	0.0	0.0	0.0	2878.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	464.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	377.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	219.0	159.0	0.0	7.0	168.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Granulicella"	0.0	0.0	0.0	0.0	6578.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	162.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	160.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	97.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Silvibacterium"	0.0	0.0	0.0	0.0	1365.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	139.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	167.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	97.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Terracidiphilus"	0.0	0.0	0.0	0.0	962.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Terriglobus"	0.0	0.0	0.0	0.0	6325.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	122.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	128.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	47.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Candidatus Solibacter"	0.0	0.0	0.0	0.0	891.0	294.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	319.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	523.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	349.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	494.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	516.0	160.0	0.0	19.0	204.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Chloracidobacterium"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	99.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
